,song,artist
2354,Eyes Without A Face,Billy Idol
2355,Dance Hall Days,Wang Chung
2356,Karma Chameleon,Culture Club
2357,Say Say Say,Paul McCartney And Michael Jackson
2358,Love Is A Battlefield,Pat Benatar
2359,Major Tom (Coming Home),Peter Schilling
2360,Uptown Girl,Billy Joel
2361,Telefone (long Distance Love Affair),Sheena Easton
2362,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band
2363,Maniac,Michael Sembello
2364,Every Breath You Take,The Police
2365,Electric Avenue,Eddy Grant
2366,Always Something There To Remind Me,Naked Eyes
2367,She Blinded Me With Science,Thomas Dolby
2368,Jeopardy,Greg Kihn Band
2369,Allentown,Billy Joel
2370,Heartbreaker,Dionne Warwick
2371,Jack & Diane,John Cougar
2372,I Ran (So Far Away),A Flock Of Seagulls
2373,Shake It Up,The Cars
2374,Turn Your Love Around,George Benson
2375,The Theme From Hill Street Blues,Mike Post featuring Larry Carlton
2376,I've Done Everything For You,Rick Springfield
2377,When She Was My Girl,Four Tops
2378,Step By Step,Eddie Rabbitt
2379,Lady (You Bring Me Up),Commodores
2380,Feels So Right,Alabama
2381,Elvira,The Oak Ridge Boys
2382,Angel Of The Morning,Juice Newton
2383,Somebody's Knockin',Terri Gibbs
2384,A Little In Love,Cliff Richard
2385,(Just Like) Starting Over,John Lennon
2386,Guilty,Barbra Streisand & Barry Gibb
2387,Every Woman In The World,Air Supply
2388,Dreaming,Cliff Richard
2389,I'm Alright,Kenny Loggins
2390,Brass In Pocket (I'm Special),Pretenders
2391,Crazy Little Thing Called Love,Queen
2392,Longer,Dan Fogelberg
2393,I Know A Heartache When I See One,Jennifer Warnes
2394,My Sharona,The Knack
2395,You Can't Change That,Raydio
2396,Shake Your Body (Down To The Ground),The Jacksons
2397,Stumblin' In,Suzi Quatro & Chris Norman
2398,Shake Your Groove Thing,Peaches & Herb
2399,The Gambler,Kenny Rogers
2400,Sharing The Night Together,Dr. Hook
2401,You Never Done It Like That,Captain & Tennille
2402,Magnet And Steel,Walter Egan
2403,Grease,Frankie Valli
2404,I Can't Stand The Rain,Eruption
2405,If I Can't Have You,Yvonne Elliman
2406,Sometimes When We Touch,Dan Hill
2407,You're In My Heart (The Final Acclaim),Rod Stewart
2408,Come Sail Away,Styx
2409,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
2410,It's Ecstasy When You Lay Down Next To Me,Barry White
2411,Help Is On Its Way,Little River Band
2412,It Was Almost Like A Song,Ronnie Milsap
2413,Easy,Commodores
2414,Da Doo Ron Ron,Shaun Cassidy
2415,You're My World,Helen Reddy
2416,Do You Wanna Make Love,Peter Mccann
2417,Ariel,Dean Friedman
2418,Margaritaville,Jimmy Buffett
2419,Feels Like The First Time,Foreigner
2420,Couldn't Get It Right,Climax Blues Band
2421,Right Time Of The Night,Jennifer Warnes
2422,Dancing Queen,ABBA
2423,Torn Between Two Lovers,Mary Macgregor
2424,Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.
2425,You Are The Woman,Firefall
2426,Lowdown,Boz Scaggs
2427,Devil Woman,Cliff Richard
2428,Moonlight Feels Right,Starbuck
2429,Misty Blue,Dorothy Moore
2430,Only Sixteen,Dr. Hook
2431,Dancing Machine,Jackson 5
2432,Jungle Boogie,Kool & The Gang
2433,Love's Theme,Love Unlimited Orchestra
2434,Show And Tell,Al Wilson
2435,The Most Beautiful Girl,Charlie Rich
2436,"Bad, Bad Leroy Brown",Jim Croce
2437,Will It Go Round In Circles,Billy Preston
2438,Dancing In The Moonlight,King Harvest
2439,I Am Woman,Helen Reddy
2440,Nice To Be With You,Gallery
2441,Slippin' Into Darkness,War
2442,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders
2443,Hitchin' A Ride,Vanity Fare
2444,Raindrops Keep Fallin' On My Head,B.J. Thomas
2445,"Sugar, Sugar",The Archies
2446,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus"
2447,"Hello, Dolly!",Louis Armstrong And The All Stars
2448,"Please Help Me, I'm Falling",Hank Locklin
2449,El Paso,Marty Robbins
2450,You Got What It Takes,Marv Johnson
2451,It's All In The Game,Tommy Edwards
2452,Wants And Needs,Drake Featuring Lil Baby
2453,Hell Of A View,Eric Church
2454,What's Your Country Song,Thomas Rhett
2455,Hawai,Maluma & The Weeknd
2456,Be Like That,Kane Brown With Swae Lee & Khalid
2457,Sunday Best,Surfaces
2458,Dior,Pop Smoke
2459,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
2460,Tusa,Karol G & Nicki Minaj
2461,Homesick,Kane Brown
2462,Woah,Lil Baby
2463,Kinfolks,Sam Hunt
2464,What If I Never Get Over You,Lady Antebellum
2465,Baby,Lil Baby & DaBaby
2466,Goodbyes,Post Malone Featuring Young Thug
2467,Lalala,Y2K & bbno$
2468,You Need To Calm Down,Taylor Swift
2469,Beer Never Broke My Heart,Luke Combs
2470,Act Up,City Girls
2471,GIRL,Maren Morris
2472,Drunk Me,Mitchell Tenpenny
2473,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
2474,One Kiss,Calvin Harris & Dua Lipa
2475,Get Along,Kenny Chesney
2476,X,Nicky Jam x J Balvin
2477,Dura,Daddy Yankee
2478,All The Stars,Kendrick Lamar & SZA
2479,Stir Fry,Migos
2480,Lemon,N*E*R*D & Rihanna
2481,MotorSport,"Migos, Nicki Minaj & Cardi B"
2482,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
2483,What Lovers Do,Maroon 5 Featuring SZA
2484,What About Us,P!nk
2485,Praying,Kesha
2486,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy
2487,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
2488,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
2489,Slippery,Migos Featuring Gucci Mane
2490,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
2491,Blue Ain't Your Color,Keith Urban
2492,X,21 Savage & Metro Boomin Featuring Future
2493,Faith,George Michael
2494,Dangerous Woman,Ariana Grande
2495,Middle,DJ Snake Featuring Bipolar Sunshine
2496,Let's Go Crazy,Prince And The Revolution
2497,Down In The DM,Yo Gotti Featuring Nicki Minaj
2498,Classic Man,Jidenna Featuring Roman GianArthur
2499,You Know You Like It,DJ Snake & AlunaGeorge
2500,Geronimo,Sheppard
2501,Leave The Night On,Sam Hunt
2502,Ready Set Roll,Chase Rice
2503,Wiggle,Jason Derulo Featuring Snoop Dogg
2504,Come With Me Now,KONGOS
2505,Partition,Beyonce
2506,Whatever She's Got,David Nail
2507,Replay,Zendaya
2508,That's My Kind Of Night,Luke Bryan
2509,Best Song Ever,One Direction
2510,Hey Girl,Billy Currington
2511,Love Somebody,Maroon 5
2512,Young And Beautiful,Lana Del Rey
2513,The Other Side,Jason Derulo
2514,Crash My Party,Luke Bryan
2515,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
2516,"Bitch, Don't Kill My Vibe",Kendrick Lamar
2517,I Cry,Flo Rida
2518,Scream,Usher
2519,She Will,Lil Wayne Featuring Drake
2520,Country Must Be Country Wide,Brantley Gilbert
2521,My Last,Big Sean Featuring Chris Brown
2522,Homeboy,Eric Church
2523,Tomorrow,Chris Young
2524,A Little Bit Stronger,Sara Evans
2525,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
2526,Rhythm of Love,Plain White T's
2527,Love Like Woe,The Ready Set
2528,Farmer's Daughter,Rodney Atkins
2529,Find Your Love,Drake
2530,Hey Daddy (Daddy's Home),Usher Featuring Plies
2531,Naturally,Selena Gomez & The Scene
2532,How Low,Ludacris
2533,According To You,Orianthi
2534,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2535,Fifteen,Taylor Swift
2536,Obsessed,Mariah Carey
2537,Fire Burning,Sean Kingston
2538,Not Meant To Be,Theory Of A Deadman
2539,I Run To You,Lady Antebellum
2540,Feel That Fire,Dierks Bentley
2541,Spotlight,Jennifer Hudson
2542,One Step At A Time,Jordin Sparks
2543,In The Ayer,Flo Rida Featuring will.i.am
2544,Get Like Me,David Banner Featuring Chris Brown
2545,Into The Night,Santana Featuring Chad Kroeger
2546,Good Life,Kanye West Featuring T-Pain
2547,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte
2548,S.O.S.,Jonas Brothers
2549,Make Me Better,Fabolous Featuring Ne-Yo
2550,2 Step,Unk
2551,Throw Some D's,Rich Boy Featuring Polow Da Don
2552,Ice Box,Omarion
2553,Keep Holding On,Avril Lavigne
2554,Here (In Your Arms),Hellogoodbye
2555,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
2556,London Bridge,Fergie
2557,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
2558,So What,Field Mob Featuring Ciara
2559,Yo (Excuse Me Miss),Chris Brown
2560,Shake That,Eminem Featuring Nate Dogg
2561,Don't Forget About Us,Mariah Carey
2562,Like We Never Loved At All,Faith Hill
2563,Like You,Bow Wow Featuring Ciara
2564,Best Of You,Foo Fighters
2565,Obsession (No Es Amor),Frankie J Featuring Baby Bash
2566,Okay,Nivea Featuring Lil Jon & YoungBloodZ
2567,Soldier,Destiny's Child Featuring T.I. & Lil Wayne
2568,Bring Em Out,T.I.
2569,Broken,Seether Featuring Amy Lee
2570,Pieces Of Me,Ashlee Simpson
2571,Roses,OutKast
2572,Splash Waterfalls,Ludacris
2573,F**k It (I Don't Want You Back),Eamon
2574,Through The Wire,Kanye West
2575,Fallen,Sarah McLachlan
2576,Bright Lights,matchbox twenty
2577,Holidae In,Chingy Featuring Ludacris & Snoop Dogg
2578,Rock Wit U (Awww Baby),Ashanti
2579,All I Have,Jennifer Lopez Featuring LL Cool J
2580,When The Last Time,Clipse
2581,Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya"
2582,Gotta Get Thru This,Daniel Bedingfield
2583,The Impossible,Joe Nichols
2584,Just A Friend 2002,Mario
2585,Oh Boy,Cam'Ron Featuring Juelz Santana
2586,Don't Let Me Get Me,P!nk
2587,I Love You,Faith Evans
2588,Roll Out (My Business),Ludacris
2589,Raise Up,Petey Pablo
2590,Be Like That,3 Doors Down
2591,One Minute Man,"Missy ""Misdemeanor"" Elliott"
2592,She Couldn't Change Me,Montgomery Gentry
2593,Fiesta,R. Kelly Featuring Jay-Z
2594,Love,Musiq Soulchild
2595,Stranger In My House,Tamia
2596,Promise,Jagged Edge
2597,Don't Tell Me,Madonna
2598,Love Don't Cost A Thing,Jennifer Lopez
2599,I Just Wanna Love U (Give It 2 Me),JAY-Z
2600,Pinch Me,Barenaked Ladies
2601,You're A God,Vertical Horizon
2602,Come On Over Baby (All I Want Is You),Christina Aguilera
2603,Wonderful,Everclear
2604,Wifey,Next
2605,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
2606,My Best Friend,Tim McGraw
2607,Learn To Fly,Foo Fighters
2608,American Woman,Lenny Kravitz
2609,Last Kiss,Pearl Jam
2610,How Forever Feels,Kenny Chesney
2611,All I Have To Give,Backstreet Boys
2612,These Are The Times,Dru Hill
2613,Miami,Will Smith
2614,Doo Wop (That Thing),Lauryn Hill
2615,Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
2616,Let's Ride,Montell Jordan Feat. Master P & Silkk The Shocker
2617,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
2618,Not Tonight,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar"
2619,Say You'll Be There,Spice Girls
2620,Where Have All The Cowboys Gone?,Paula Cole
2621,Jellyhead,Crush
2622,Macarena,Los Del Rio
2623,"1, 2, 3, 4 (Sumpin' New)",Coolio
2624,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
2625,Hey Lover,LL Cool J
2626,"No More ""I Love You's""",Annie Lennox
2627,House Of Love,Amy Grant With Vince Gill
2628,Practice What You Preach,Barry White
2629,I Belong To You/How Many Ways,Toni Braxton
2630,Playaz Club,Rappin' 4-Tay
2631,Stroke You Up,Changing Faces
2632,Anytime You Need A Friend,Mariah Carey
2633,Beautiful In My Eyes,Joshua Kadison
2634,Dunkie Butt (Please Please Please),12 Gauge
2635,Amazing,Aerosmith
2636,Just Kickin' It,Xscape
2637,Come Baby Come,K7
2638,If I Had No Loot,Tony Toni Tone
2639,Looking Through Patient Eyes,P.M. Dawn
2640,"I Wanna Love You (From ""Class Act"")",Jade
2641,Keep On Walkin',CeCe Peniston
2642,Damn I Wish I Was Your Lover,Sophie B. Hawkins
2643,Jump,Kris Kross
2644,Live And Learn,Joe Public
2645,I'm Too Sexy,Right Said Fred
2646,Diamonds And Pearls,Prince And The N.P.G.
2647,O.P.P.,Naughty By Nature
2648,Do Anything,Natural Selection
2649,Running Back To You,Vanessa Williams
2650,I Can't Wait Another Minute,Hi-Five
2651,Temptation,Corina
2652,Place In This World,Michael W. Smith
2653,Losing My Religion,R.E.M.
2654,Baby Baby,Amy Grant
2655,Something To Believe In,Poison
2656,Tom's Diner,DNA Featuring Suzanne Vega
2657,Ice Ice Baby,Vanilla Ice
2658,Joey,Concrete Blonde
2659,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
2660,Epic,Faith No More
2661,Make You Sweat,Keith Sweat
2662,Girls Nite Out,Tyler Collins
2663,Ready Or Not,After 7
2664,Nothing Compares 2 U,Sinead O'Connor
2665,Expression,Salt-N-Pepa
2666,House Of Pain,Faster Pussycat
2667,The Heart Of The Matter,Don Henley
2668,Don't Wanna Fall In Love,Jane Child
2669,Dangerous,Roxette
2670,Here We Are,Gloria Estefan
2671,C'mon And Get My Love,D-Mob Introducing Cathy Dennis
2672,Free Fallin',Tom Petty
2673,Was It Nothing At All,Michael Damian
2674,Just Between You And Me,Lou Gramm
2675,The Angel Song,Great White
2676,Rock Wit'cha,Bobby Brown
2677,(You're My One And Only) True Love,Seduction
2678,Right Here Waiting,Richard Marx
2679,Cold Hearted,Paula Abdul
2680,Secret Rendezvous,Karyn White
2681,Baby Don't Forget My Number,Milli Vanilli
2682,I'll Be Loving You (Forever),New Kids On The Block
2683,Every Little Step,Bobby Brown
2684,"Rock On (From ""Dream A Little Dream"")",Michael Damian
2685,Second Chance,Thirty Eight Special
2686,All This Time,Tiffany
2687,Every Rose Has Its Thorn,Poison
2688,I Remember Holding You,Boys Club
2689,Walk On Water,Eddie Money
2690,Edge Of A Broken Heart,Vixen
2691,If It Isn't Love,New Edition
2692,I Don't Wanna Live Without Your Love,Chicago
2693,Fast Car,Tracy Chapman
2694,Sign Your Name,Terence Trent D'Arby
2695,Hold On To The Nights,Richard Marx
2696,Just Got Paid,Johnny Kemp
2697,Nite And Day,Al B. Sure!
2698,Two Occasions,The Deele
2699,Wait,White Lion
2700,Electric Blue,Icehouse
2701,Endless Summer Nights,Richard Marx
2702,She's Like The Wind,Patrick Swayze (Featuring Wendy Fraser)
2703,I Want To Be Your Man,Roger
2704,Hazy Shade Of Winter,The Bangles
2705,Candle In The Wind,Elton John
2706,Pop Goes The World,Men Without Hats
2707,Cherry Bomb,John Mellencamp
2708,Crazy,Icehouse
2709,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes
2710,Should've Known Better,Richard Marx
2711,Heaven Is A Place On Earth,Belinda Carlisle
2712,I've Been In Love Before,Cutting Crew
2713,I Won't Forget You,Poison
2714,Little Lies,Fleetwood Mac
2715,La Bamba,Los Lobos
2716,Don't Mean Nothing,Richard Marx
2717,Back In The High Life Again,Steve Winwood
2718,Alone,Heart
2719,Something So Strong,Crowded House
2720,Don't Disturb This Groove,The System
2721,You Keep Me Hangin' On,Kim Wilde
2722,Just To See Her,Smokey Robinson
2723,I Wanna Go Back,Eddie Money
2724,I'll Be Alright Without You,Journey
2725,At This Moment,Billy Vera & The Beaters
2726,Nobody's Fool,Cinderella
2727,Someday,Glass Tiger
2728,Land Of Confusion,Genesis
2729,For Tonight,Nancy Martinez
2730,Everybody Have Fun Tonight,Wang Chung
2731,The Next Time I Fall,Peter Cetera With Amy Grant
2732,Word Up,Cameo
2733,Wild Wild Life,Talking Heads
2734,Friends And Lovers,Carl Anderson & Gloria Loring
2735,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin
2736,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera
2737,Mad About You,Belinda Carlisle
2738,Sledgehammer,Peter Gabriel
2739,Danger Zone,Kenny Loggins
2740,Your Wildest Dreams,The Moody Blues
2741,There'll Be Sad Songs (To Make You Cry),Billy Ocean
2742,What Have You Done For Me Lately,Janet Jackson
2743,Life In A Northern Town,The Dream Academy
2744,Walk Of Life,Dire Straits
2745,Everybody Dance,Ta Mara & The Seen
2746,Separate Lives,Phil Collins and Marilyn Martin
2747,You Belong To The City,Glenn Frey
2748,Part-Time Lover,Stevie Wonder
2749,Lovin' Every Minute Of It,Loverboy
2750,Oh Sheila,Ready For The World
2751,I Wonder If I Take You Home,Lisa Lisa And Clult Jam With Full Force
2752,What About Love?,Heart
2753,You Give Good Love,Whitney Houston
2754,The Search Is Over,Survivor
2755,Voices Carry,'Til Tuesday
2756,Walking On Sunshine,Katrina And The Waves
2757,Crazy For You,Madonna
2758,New Attitude,Patti LaBelle
2759,I Want To Know What Love Is,Foreigner
2760,Lover Boy,Billy Ocean
2761,Better Be Good To Me,Tina Turner
2762,The Warrior,Scandal Featuring Patty Smyth
2763,Ghostbusters,Ray Parker Jr.
2764,Dancing In The Dark,Bruce Springsteen
2765,The Reflex,Duran Duran
2766,To All The Girls I've Loved Before,Julio Iglesias And Willie Nelson
2767,Hold Me Now,Thompson Twins
2768,Jump,Van Halen
2769,Give It Up,KC
2770,The Politics Of Dancing,Re-flex
2771,Holiday,Madonna
2772,Time Will Reveal,Debarge
2773,Baby I Lied,Deborah Allen
2774,Stay With Me Tonight,Jeffrey Osborne
2775,Cum On Feel The Noize,Quiet Riot
2776,Heart And Soul,Huey Lewis & The News
2777,Puttin' On The Ritz,Taco
2778,She Works Hard For The Money,Donna Summer
2779,Der Kommissar,After The Fire
2780,Shame On The Moon,Bob Seger & The Silver Bullet Band
2781,Goody Two Shoes,Adam Ant
2782,You Can't Hurry Love,Phil Collins
2783,Africa,Toto
2784,Sexual Healing,Marvin Gaye
2785,Rock This Town,Stray Cats
2786,A Penny For Your Thoughts,Tavares
2787,Heart Attack,Olivia Newton-John
2788,The Other Woman,Ray Parker Jr.
2789,Don't Talk To Strangers,Rick Springfield
2790,Making Love,Roberta Flack
2791,One Hundred Ways,Quincy Jones Featuring James Ingram
2792,Love In The First Degree,Alabama
2793,I Can't Go For That (No Can Do),Daryl Hall John Oates
2794,Steal The Night,Stevie Woods
2795,The Night Owls,Little River Band
2796,"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton
2797,Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers
2798,Who's Crying Now,Journey
2799,Boy From New York City,The Manhattan Transfer
2800,Hearts,Marty Balin
2801,You Make My Dreams,Daryl Hall John Oates
2802,Medley,Stars On 45
2803,Morning Train (Nine To Five),Sheena Easton
2804,Ain't Even Done With The Night,John Cougar
2805,Smoky Mountain Rain,Ronnie Milsap
2806,Together,Tierra
2807,It's My Turn,Diana Ross
2808,"De Do Do Do, De Da Da Da",The Police
2809,Lookin' For Love,Johnny Lee
2810,Someone That I Used To Love,Natalie Cole
2811,Sailing,Christopher Cross
2812,Take Your Time (Do It Right) Part 1,The S.O.S. Band
2813,It's Still Rock And Roll To Me,Billy Joel
2814,Little Jeannie,Elton John
2815,Coming Up (Live At Glasgow),Paul McCartney And Wings
2816,Ride Like The Wind,Christopher Cross
2817,Sexy Eyes,Dr. Hook
2818,Don't Let Go,Isaac Hayes
2819,Escape (The Pina Colada Song),Rupert Holmes
2820,You're Only Lonely,J.D. Souther
2821,Dim All The Lights,Donna Summer
2822,Don't Stop 'til You Get Enough,Michael Jackson
2823,Ring My Bell,Anita Ward
2824,Hot Stuff,Donna Summer
2825,The Logical Song,Supertramp
2826,Heart Of Glass,Blondie
2827,Da Ya Think I'm Sexy?,Rod Stewart
2828,Too Much Heaven,Bee Gees
2829,I Was Made For Dancin',Leif Garrett
2830,New York Groove,Ace Frehley
2831,Hold The Line,Toto
2832,I Just Wanna Stop,Gino Vannelli
2833,How Much I Feel,Ambrosia
2834,Sweet Life,Paul Davis
2835,Get Off,Foxy
2836,Love Is In The Air,John Paul Young
2837,Last Dance,Donna Summer
2838,It's A Heartache,Bonnie Tyler
2839,Jack And Jill,Raydio
2840,Our Love,Natalie Cole
2841,More Than A Woman,Tavares
2842,Thunder Island,Jay Ferguson
2843,Just Remember I Love You,Firefall
2844,Cold As Ice,Foreigner
2845,Way Down,Elvis Presley
2846,Just A Song Before I Go,"Crosby, Stills & Nash"
2847,You And Me,Alice Cooper
2848,Lonely Boy,Andrew Gold
2849,Heard It In A Love Song,The Marshall Tucker Band
2850,Southern Nights,Glen Campbell
2851,I've Got Love On My Mind,Natalie Cole
2852,Night Moves,Bob Seger & The Silver Bullet Band
2853,Enjoy Yourself,The Jacksons
2854,You Make Me Feel Like Dancing,Leo Sayer
2855,Dazz,Brick
2856,Jeans On,David Dundas
2857,Stand Tall,Burton Cummings
2858,The Rubberband Man,The Spinners
2859,Beth/Detroit Rock City,KISS
2860,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot
2861,If You Leave Me Now,Chicago
2862,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band
2863,Wham Bam (Shang-A-Lang),Silver
2864,You'll Never Find Another Love Like Mine,Lou Rawls
2865,Heaven Must Be Missing An Angel (part 1),Tavares
2866,Get Up And Boogie (That's Right),Silver Convention
2867,Boogie Fever,The Sylvers
2868,Sweet Thing,Rufus Featuring Chaka Khan
2869,Golden Years,David Bowie
2870,You Sexy Thing,Hot Chocolate
2871,Sky High,Jigsaw
2872,Fame,David Bowie
2873,Philadelphia Freedom,The Elton John Band
2874,Jackie Blue,Ozark Mountain Daredevils
2875,Before The Next Teardrop Falls,Freddy Fender
2876,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta
2877,Sideshow,Blue Magic
2878,The Air That I Breathe,The Hollies
2879,Seasons In The Sun,Terry Jacks
2880,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin
2881,I Can't Stand The Rain,Ann Peebles
2882,Touch Me In The Morning,Diana Ross
2883,Pillow Talk,Sylvia (r&b)
2884,Drift Away,Dobie Gray
2885,Wildflower,Skylark
2886,The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
2887,I Gotcha,Joe Tex
2888,Superstar/Bless The Beasts And Children,Carpenters
2889,Maggie May/Reason To Believe,Rod Stewart
2890,Spill The Wine,Eric Burdon And War
2891,Hurt So Bad,The Lettermen
2892,Born Free,Roger Williams
2893,I Left My Heart In San Francisco,Tony Bennett
2894,Stranger On The Shore,Mr. Acker Bilk
2895,The Ballad Of Thunder Road,Robert Mitchum
2896,Exodus,Ferrante & Teicher
2897,Only The Lonely (Know How I Feel),Roy Orbison
2898,Lonely Weekends,Charlie Rich
2899,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
2900,Just As Much As Ever,Bob Beckham
2901,Primrose Lane,Jerry Wallace With The Jewels
2902,The Battle Of New Orleans,Johnny Horton
2903,I Cried A Tear,LaVern Baker
2904,Stagger Lee,Lloyd Price
2905,16 Candles,The Crests
2906,Lonely Teardrops,Jackie Wilson
2907,Tom Dooley,The Kingston Trio
2908,It's Only Make Believe,Conway Twitty
2909,Topsy II,Cozy Cole
2910,Rock-in Robin,Bobby Day
2911,Need To Know,Doja Cat
2912,Thot Shit,Megan Thee Stallion
2913,Late At Night,Roddy Ricch
2914,Yonaguni,Bad Bunny
2915,Todo de Ti,Rauw Alejandro
2916,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line
2917,Butter,BTS
2918,Things A Man Oughta Know,Lainey Wilson
2919,Country Again,Thomas Rhett
2920,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
2921,Single Saturday Night,Cole Swindell
2922,Rapstar,Polo G
2923,Settling Down,Miranda Lambert
2924,Gone,Dierks Bentley
2925,pov,Ariana Grande
2926,Breaking Up Was Easy In The 90's,Sam Hunt
2927,Track Star,Mooski
2928,Made For You,Jake Owen
2929,Time Today,Moneybagg Yo
2930,Up,Cardi B
2931,No More Parties,Coi Leray Featuring Lil Durk
2932,Quicksand,Morray
2933,Pick Up Your Feelings,Jazmine Sullivan
2934,Goosebumps,Travis Scott & HVME
2935,Streets,Doja Cat
2936,Good Days,SZA
2937,Just The Way,Parmalee x Blanco Brown
2938,Down To One,Luke Bryan
2939,Willow,Taylor Swift
2940,Damage,H.E.R.
2941,Cry Baby,Megan Thee Stallion Featuring DaBaby
2942,Body,Megan Thee Stallion
2943,Golden,Harry Styles
2944,Tyler Herro,Jack Harlow
2945,Lonely,Justin Bieber & benny blanco
2946,Hole In The Bottle,Kelsea Ballerini
2947,"Big, Big Plans",Chris Lane
2948,Diamonds,Sam Smith
2949,Hit Different,SZA Featuring Ty Dolla $ign
2950,Love You Like I Used To,Russell Dickerson
2951,Midnight Sky,Miley Cyrus
2952,It's The Most Wonderful Time Of The Year,Andy Williams
2953,White Christmas,Bing Crosby
2954,Come & Go,Juice WRLD x Marshmello
2955,Wishing Well,Juice WRLD
2956,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
2957,Mood Swings,Pop Smoke Featuring Lil Tjay
2958,Rags2Riches,Rod Wave Featuring ATR Son Son
2959,Lovin' On You,Luke Combs
2960,Thriller,Michael Jackson
2961,The Bigger Picture,Lil Baby
2962,Cool Again,Kane Brown
2963,Rain On Me,Lady Gaga & Ariana Grande
2964,One Margarita,Luke Bryan
2965,Party Girl,StaySolidRocky
2966,After Party,Don Toliver
2967,I Love My Country,Florida Georgia Line
2968,God Whispered Your Name,Keith Urban
2969,Bluebird,Miranda Lambert
2970,Toosie Slide,Drake
2971,Hard To Forget,Sam Hunt
2972,Walk Em Down,NLE Choppa Featuring Roddy Ricch
2973,Godzilla,Eminem Featuring Juice WRLD
2974,Sum 2 Prove,Lil Baby
2975,More Hearts Than Mine,Ingrid Andress
2976,Slide,H.E.R. Featuring YG
2977,BEST ON EARTH,Russ & BIA
2978,Suicidal,YNW Melly & Juice WRLD
2979,Ridin' Roads,Dustin Lynch
2980,Make No Sense,YoungBoy Never Broke Again
2981,Juicy,Doja Cat & Tyga
2982,Bandit,Juice WRLD & YoungBoy Never Broke Again
2983,Heartache Medication,Jon Pardi
2984,VIBEZ,DaBaby
2985,Camelot,NLE Choppa
2986,Graveyard,Halsey
2987,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
2988,Playing Games,Summer Walker
2989,Heat,Chris Brown Featuring Gunna
2990,Hate Me,Ellie Goulding & Juice WRLD
2991,Baby Sitter,DaBaby Featuring Offset
2992,Prayed For You,Matt Stell
2993,How Do You Sleep?,Sam Smith
2994,Time,NF
2995,Tip Of My Tongue,Kenny Chesney
2996,I Don't Know About You,Chris Lane
2997,My Type,Saweetie
2998,Cash Shit,Megan Thee Stallion Featuring DaBaby
2999,The Git Up,Blanco Brown
3000,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA"
3001,Callaita,Bad Bunny & Tainy
3002,The London,"Young Thug, J. Cole & Travis Scott"
3003,All To Myself,Dan + Shay
3004,Shotta Flow,NLE Choppa
3005,ME!,Taylor Swift Featuring Brendon Urie
3006,Clout,Offset Featuring Cardi B
3007,Calma,Pedro Capo X Farruko
