song,artist
Shallow,Lady Gaga & Bradley Cooper
Havana,Camila Cabello Featuring Young Thug
Needed Me,Rihanna
Where Are U Now,Skrillex & Diplo With Justin Bieber
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
Chasing Cars,Snow Patrol
Feel Good Inc,Gorillaz
Yeah!,Usher Featuring Lil Jon & Ludacris
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins
When I'm Gone,3 Doors Down
Wherever You Will Go,The Calling
Another Night,Real McCoy
100% Pure Love,Crystal Waters
Whoomp! (There It Is),Tag Team
Ballin',Mustard & Roddy Ricch
Wow.,Post Malone
Bohemian Rhapsody,Queen
Feel It Still,Portugal. The Man
Redbone,Childish Gambino
Riptide,Vance Joy
Royals,Lorde
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
Too Close,Alex Clare
I Won't Give Up,Jason Mraz
Haven't Met You Yet,Michael Buble
I Wanna Know,Joe
As I Lay Me Down,Sophie B. Hawkins
Hold My Hand,Hootie & The Blowfish
You Gotta Be,Des'ree
Come To My Window,Melissa Etheridge
For The Night,Pop Smoke Featuring Lil Baby & DaBaby
All I Want For Christmas Is You,Mariah Carey
You Say,Lauren Daigle
Location,Khalid
Scars To Your Beautiful,Alessia Cara
Earned It (Fifty Shades Of Grey),The Weeknd
Let Her Go,Passenger
Safe And Sound,Capital Cities
Set Fire To The Rain,Adele
Breakeven,The Script
Face Down,The Red Jumpsuit Apparatus
Beverly Hills,Weezer
We Belong Together,Mariah Carey
This Love,Maroon 5
Headstrong,Trapt
Semi-Charmed Life,Third Eye Blind
Quit Playing Games (With My Heart),Backstreet Boys
Change The World,Eric Clapton
What About Me,Moving Pictures
Tainted Love,Soft Cell
What You Know Bout Love,Pop Smoke
Rockstar,DaBaby Featuring Roddy Ricch
Hot Girl Bummer,blackbear
Truth Hurts,Lizzo
Sorry,Justin Bieber
Sugar,Maroon 5
Brave,Sara Bareilles
Mirrors,Justin Timberlake
One More Night,Maroon 5
We Are Young,fun. Featuring Janelle Monae
Sexy And I Know It,LMFAO
Just A Kiss,Lady Antebellum
Over My Head (Cable Car),The Fray
Unwritten,Natasha Bedingfield
"Sugar, We're Goin' Down",Fall Out Boy
Ignition,R. Kelly
Can't Fight The Moonlight,LeAnn Rimes
If You're Gone,matchbox twenty
Where My Girls At?,702
You're Still The One,Shania Twain
Candle In The Wind 1997,Elton John
The Freshmen,The Verve Pipe
Un-Break My Heart,Toni Braxton
C'mon N' Ride It (The Train),Quad City DJ's
Wild Night,John Mellencamp
Heat Waves,Glass Animals
Memories,Maroon 5
I Like Me Better,Lauv
1-800-273-8255,Logic Featuring Alessia Cara & Khalid
Unforgettable,French Montana Featuring Swae Lee
Body Like A Back Road,Sam Hunt
24K Magic,Bruno Mars
Love Yourself,Justin Bieber
Can't Feel My Face,The Weeknd
Take Me To Church,Hozier
Rude,MAGIC!
We Found Love,Rihanna Featuring Calvin Harris
Second Chance,Shinedown
Love Song,Sara Bareilles
She Will Be Loved,Maroon 5
White Flag,Dido
A Thousand Miles,Vanessa Carlton
Family Affair,Mary J. Blige
Everything You Want,Vertical Horizon
All For You,Sister Hazel
I Love You Always Forever,Donna Lewis
You're Makin' Me High/Let It Flow,Toni Braxton
The Sign,Ace Of Base
We Are The Champions,Queen
Levitating,Dua Lipa Featuring DaBaby
Speechless,Dan + Shay
The Middle,"Zedd, Maren Morris & Grey"
Rockstar,Post Malone Featuring 21 Savage
Panda,Desiigner
679,Fetty Wap Featuring Remy Boyz
Home,Phillip Phillips
Pumped Up Kicks,Foster The People
Sexy Chick,David Guetta Featuring Akon
Down,Jay Sean Featuring Lil Wayne
Poker Face,Lady Gaga
Low,Flo Rida Featuring T-Pain
The Sweet Escape,Gwen Stefani Featuring Akon
Waiting On The World To Change,John Mayer
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes
If I Ain't Got You,Alicia Keys
I Need To Know,Marc Anthony
I Will Remember You (Live),Sarah McLachlan
Return Of The Mack,Mark Morrison
This Is Your Night,Amber
"Insensitive (From ""Bed Of Roses"")",Jann Arden
I'm The Only One,Melissa Etheridge
Dazzey Duks,Duice
Red Red Wine,UB40
I'm So Excited,The Pointer Sisters
I Go Crazy,Paul Davis
Watermelon Sugar,Harry Styles
Trampoline,SHAED
I Don't Care,Ed Sheeran & Justin Bieber
Psycho,Post Malone Featuring Ty Dolla $ign
Love.,Kendrick Lamar Featuring Zacari
Attention,Charlie Puth
Something Just Like This,The Chainsmokers & Coldplay
In The End,Linkin Park
Heathens,twenty one pilots
Treat You Better,Shawn Mendes
I Hate U I Love U,gnash Featuring Olivia O'Brien
Ride,twenty one pilots
My House,Flo Rida
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
Habits (Stay High),Tove Lo
Fancy,Iggy Azalea Featuring Charli XCX
Timber,Pitbull Featuring Ke$ha
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
I Will Wait,Mumford & Sons
Everybody Talks,Neon Trees
Someone Like You,Adele
Super Bass,Nicki Minaj
Firework,Katy Perry
You Found Me,The Fray
Hot N Cold,Katy Perry
Closer,Ne-Yo
Bleeding Love,Leona Lewis
No One,Alicia Keys
Move Along,The All-American Rejects
Dirty Little Secret,The All-American Rejects
Gold Digger,Kanye West Featuring Jamie Foxx
"1, 2 Step",Ciara Featuring Missy Elliott
Freek-A-Leek,Petey Pablo
The Way You Move,OutKast Featuring Sleepy Brown
Gimme The Light,Sean Paul
I Do!!,Toya
Drive,Incubus
Thank You,Dido
Bent,matchbox twenty
Where Do You Go,No Mercy
Give Me One Reason,Tracy Chapman
December,Collective Soul
Rhythm Is A Dancer,Snap!
Bust A Move,Young M.C.
The Twist,Chubby Checker
You Broke Me First.,Tate McRae
Rockin' Around The Christmas Tree,Brenda Lee
Life Is Good,Future Featuring Drake
Say So,Doja Cat Featuring Nicki Minaj
The Box,Roddy Ricch
Falling,Trevor Daniel
Sad!,XXXTENTACION
Ex's & Oh's,Elle King
Team,Lorde
Love You Like A Love Song,Selena Gomez & The Scene
I Like It,Enrique Iglesias Featuring Pitbull
TiK ToK,Ke$ha
The Way I Are,Timbaland Featuring Keri Hilson
You're Beautiful,James Blunt
Run It!,Chris Brown
Scars,Papa Roach
Mr. Brightside,The Killers
Goodies,Ciara Featuring Petey Pablo
The Reason,Hoobastank
Blurry,Puddle Of Mudd
Twisted,Keith Sweat
Wonder,Natalie Merchant
Be My Lover,La Bouche
Gangsta's Paradise,Coolio
I Know,Dionne Farris
Tootsee Roll,69 Boyz
Tarzan Boy,Baltimora
Why Me,Kris Kristofferson
Senorita,Shawn Mendes & Camila Cabello
Suge,DaBaby
Going Bad,Meek Mill Featuring Drake
Humble.,Kendrick Lamar
Broccoli,D.R.A.M. Featuring Lil Yachty
I Took A Pill In Ibiza,Mike Posner
"Me, Myself & I",G-Eazy x Bebe Rexha
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
I'm Not The Only One,Sam Smith
Turn Down For What,DJ Snake & Lil Jon
Sweater Weather,The Neighbourhood
Glad You Came,The Wanted
Stronger (What Doesn't Kill You),Kelly Clarkson
Good Feeling,Flo Rida
Stereo Hearts,Gym Class Heroes Featuring Adam Levine
Don't Trust Me,3OH!3
Disturbia,Rihanna
Home,Daughtry
I Write Sins Not Tragedies,Panic! At The Disco
Because Of You,Kelly Clarkson
The Game Of Love,Santana Featuring Michelle Branch
He Wasn't Man Enough,Toni Braxton
Back At One,Brian McKnight
Can I Get A...,Jay-Z
Just Another Day,Jon Secada
Into The Night,Benny Mardones
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
Without You,The Kid LAROI
Chasin' You,Morgan Wallen
Dance Monkey,Tones And I
Only Human,Jonas Brothers
God's Plan,Drake
Never Be The Same,Camila Cabello
Bad And Boujee,Migos Featuring Lil Uzi Vert
One Dance,Drake Featuring WizKid & Kyla
Work,Rihanna Featuring Drake
7 Years,Lukas Graham
My Boo,Ghost Town DJ's
Hotline Bling,Drake
Worth It,Fifth Harmony Featuring Kid Ink
Blank Space,Taylor Swift
Don't,Ed Sheeran
Loyal,Chris Brown
Best Day Of My Life,American Authors
Burn,Ellie Goulding
Just Give Me A Reason,P!nk Featuring Nate Ruess
I Knew You Were Trouble,Taylor Swift
Locked Out Of Heaven,Bruno Mars
Drive By,Train
Wild Ones,Flo Rida Featuring Sia
Ni**as in Paris,Jay Z Kanye West
Crazy Girl,Eli Young Band
Grenade,Bruno Mars
Animal,Neon Trees
Gives You Hell,The All-American Rejects
Our Song,Taylor Swift
Who Knew,P!nk
Walk It Out,Unk
SexyBack,Justin Timberlake
My Humps,The Black Eyed Peas
Boulevard Of Broken Dreams,Green Day
Let Me Love You,Mario
The First Cut Is The Deepest,Sheryl Crow
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey
All My Life,K-Ci & JoJo
Name,Goo Goo Dolls
Breakfast At Tiffany's,Deep Blue Something
Roll To Me,Del Amitri
Kiss From A Rose,Seal
When Can I See You,Babyface
All That She Wants,Ace Of Base
Where Are You Now?,Jimmy Harnen With Synch
Gloria,Laura Branigan
Bang!,AJR
Jingle Bell Rock,Bobby Helms
Goosebumps,Travis Scott
Sweet But Psycho,Ava Max
Drip Too Hard,Lil Baby & Gunna
Boo'd Up,Ella Mai
Delicate,Taylor Swift
Young Dumb & Broke,Khalid
Sorry Not Sorry,Demi Lovato
Bad Romance,Lady Gaga
Low Life,Future Featuring The Weeknd
Cheerleader,OMI
Renegades,X Ambassadors
Want To Want Me,Jason Derulo
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
Roar,Katy Perry
When I Was Your Man,Bruno Mars
The Motto,Drake Featuring Lil Wayne
Not Over You,Gavin DeGraw
Good Life,OneRepublic
I Know You Want Me (Calle Ocho),Pitbull
Let It Rock,Kevin Rudolf Featuring Lil Wayne
Pocketful Of Sunshine,Natasha Bedingfield
No Air,Jordin Sparks Duet With Chris Brown
Hey There Delilah,Plain White T's
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
Why Don't You & I,Santana
Drift Away,Uncle Kracker Featuring Dobie Gray
Wasting My Time,Default
Superman (It's Not Easy),Five For Fighting
Slide,Goo Goo Dolls
"No, No, No",Destiny's Child
Don't Let Go (Love),En Vogue
Nobody,Keith Sweat Featuring Athena Cage
Let Her Cry,Hootie & The Blowfish
In The House Of Stone And Light,Martin Page
Breathe Again,Toni Braxton
Don't Walk Away,Jade
Stand By Me,Ben E. King
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
One Too Many,Keith Urban
Starting Over,Chris Stapleton
Roses,SAINt JHN
Mine,Bazzi
Bodak Yellow (Money Moves),Cardi B
There's Nothing Holdin' Me Back,Shawn Mendes
XO TOUR Llif3,Lil Uzi Vert
Unsteady,X Ambassadors
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Let It Go,James Bay
Exchange,Bryson Tiller
Don't,Bryson Tiller
Here,Alessia Cara
Love Me Like You Do,Ellie Goulding
Centuries,Fall Out Boy
Animals,Martin Garrix
What Makes You Beautiful,One Direction
Take Care,Drake Featuring Rihanna
DJ Got Us Fallin' In Love,Usher Featuring Pitbull
In My Head,Jason Derulo
All The Right Moves,OneRepublic
Replay,Iyaz
Addicted,Saving Abel
Breathe (2 AM),Anna Nalick
Behind These Hazel Eyes,Kelly Clarkson
Lonely No More,Rob Thomas
Picture,Kid Rock
One Last Breath,Creed
Hero,Enrique Iglesias
Fallin',Alicia Keys
Hit 'Em Up Style (Oops!),Blu Cantrell
(Hot S**t) Country Grammar,Nelly
Black Balloon,Goo Goo Dolls
"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin
Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly
The World I Know,Collective Soul
Hook,Blues Traveler
Waterfalls,TLC
Get Ready For This,2 Unlimited
Found Out About You,Gin Blossoms
Do You Love Me,The Contours
Blueberry Faygo,Lil Mosey
Everything I Wanted,Billie Eilish
7 Rings,Ariana Grande
Close Friends,Lil Baby
Castle On The Hill,Ed Sheeran
Numb,Linkin Park
Let Me Love You,DJ Snake Featuring Justin Bieber
Animals,Maroon 5
Latch,Disclosure Featuring Sam Smith
Talk Dirty,Jason Derulo Featuring 2 Chainz
Let It Go,Idina Menzel
"Hold On, We're Going Home",Drake Featuring Majid Jordan
Clarity,Zedd Featuring Foxes
Don't You Worry Child,Swedish House Mafia Featuring John Martin
Adorn,Miguel
The A Team,Ed Sheeran
Titanium,David Guetta Featuring Sia
The Show Goes On,Lupe Fiasco
Down On Me,Jeremih Featuring 50 Cent
Teenage Dream,Katy Perry
Secrets,OneRepublic
Smile,Uncle Kracker
Telephone,Lady Gaga Featuring Beyonce
Boom Boom Pow,The Black Eyed Peas
Forever,Chris Brown
Umbrella,Rihanna Featuring Jay-Z
U + Ur Hand,P!nk
Lips Of An Angel,Hinder
Be Without You,Mary J. Blige
Photograph,Nickelback
Suga Suga,Baby Bash Featuring Frankie J
Right Thurr,Chingy
The Middle,Jimmy Eat World
Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
Follow Me,Uncle Kracker
I Knew I Loved You,Savage Garden
Kiss Me,Sixpence None The Richer
What It's Like,Everlast
To The Moon And Back,Savage Garden
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
I Want You,Savage Garden
Da' Dip,Freak Nasty
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy
Anything,3T
Tell Me,Groove Theory
I'll Make Love To You,Boyz II Men
All I Wanna Do,Sheryl Crow
The Power Of Love,Celine Dion
Baby-Baby-Baby,TLC
Finally,CeCe Peniston
How Deep Is Your Love,Bee Gees
Dynamite,BTS
More Than My Hometown,Morgan Wallen
Break My Heart,Dua Lipa
Panini,Lil Nas X
When The Party's Over,Billie Eilish
Bad At Love,Halsey
Mercy,Shawn Mendes
This Is What You Came For,Calvin Harris Featuring Rihanna
Jumpman,Drake & Future
Take Your Time,Sam Hunt
Style,Taylor Swift
Jealous,Nick Jonas
Trumpets,Jason Derulo
Story Of My Life,One Direction
Wrecking Ball,Miley Cyrus
Only Time,Enya
Stay,Rihanna Featuring Mikky Ekko
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
Give Your Heart A Break,Demi Lovato
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
Paradise,Coldplay
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
Whatcha Say,Jason Derulo
Crank That (Soulja Boy),Soulja Boy Tell'em
Bad Day,Daniel Powter
Holiday,Green Day
Collide,Howie Day
My Immortal,Evanescence
Hey Ya!,OutKast
Damn!,YoungBloodZ Featuring Lil Jon
Bring Me To Life,Evanescence Featuring Paul McCoy
Get Busy,Sean Paul
Foolish,Ashanti
U Got It Bad,Usher
South Side,Moby Featuring Gwen Stefani
Again,Lenny Kravitz
"Jumpin', Jumpin'",Destiny's Child
Try Again,Aaliyah
There You Go,P!nk
You Sang To Me,Marc Anthony
Say My Name,Destiny's Child
Get It On Tonite,Montell Jordan
Someday,Sugar Ray
Unpretty,TLC
Fly Away,Lenny Kravitz
...Baby One More Time,Britney Spears
Gettin' Jiggy Wit It,Will Smith
Sunny Came Home,Shawn Colvin
"For You I Will (From ""Space Jam"")",Monica
Always Be My Baby,Mariah Carey
Sweet Dreams,La Bouche
Ironic,Alanis Morissette
Only Wanna Be With You,Hootie & The Blowfish
Creep,TLC
Always,Bon Jovi
Sukiyaki,4 P.M.
"End Of The Road (From ""Boomerang"")",Boyz II Men
"Baby, Come To Me",Patti Austin
Jessie's Girl,Rick Springfield
Baby Come Back,Player
Feelings,Morris Albert
Montero (Call Me By Your Name),Lil Nas X
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
Intentions,Justin Bieber Featuring Quavo
Ran$om,Lil Tecca
Look Back At It,A Boogie Wit da Hoodie
Beautiful Crazy,Luke Combs
Slow Hands,Niall Horan
Stay,Zedd & Alessia Cara
Mask Off,Future
Love On The Brain,Rihanna
Roses,The Chainsmokers Featuring Rozes
What Do You Mean?,Justin Bieber
Fight Song,Rachel Platten
"Honey, I'm Good.",Andy Grammer
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
Don't Tell 'Em,Jeremih Featuring YG
Rather Be,Clean Bandit Featuring Jess Glynne
Am I Wrong,Nico & Vinz
Show Me,Kid Ink Featuring Chris Brown
Gangnam Style,PSY
Payphone,Maroon 5 Featuring Wiz Khalifa
Starships,Nicki Minaj
Just Can't Get Enough,The Black Eyed Peas
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
Jar Of Hearts,Christina Perri
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
Fireflies,Owl City
Already Gone,Kelly Clarkson
Fallin' For You,Colbie Caillat
Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
Halo,Beyonce
So What,P!nk
Whatever You Like,T.I.
Better In Time,Leona Lewis
Love Remains The Same,Gavin Rossdale
Stop And Stare,OneRepublic
Tattoo,Jordin Sparks
Hips Don't Lie,Shakira Featuring Wyclef Jean
Ridin',Chamillionaire Featuring Krayzie Bone
Temperature,Sean Paul
Everytime We Touch,Cascada
"Dance, Dance",Fall Out Boy
La Tortura,Shakira Feat. Alejandro Sanz
Hollaback Girl,Gwen Stefani
Let Me Go,3 Doors Down
Lean Back,Terror Squad
No Letting Go,Wayne Wonder
Don't Know Why,Norah Jones
Complicated,Avril Lavigne
Video,India.Arie
I'm Real,Jennifer Lopez Featuring Ja Rule
Back Here,BBMak
I Want It That Way,Backstreet Boys
Every Morning,Sugar Ray
Believe,Cher
Say It,Voices Of Theory
They Don't Know,Jon B
Kiss The Rain,Billie Myers
Tubthumping,Chumbawamba
No Diggity,BLACKstreet (Featuring Dr. Dre)
Carnival,Natalie Merchant
I Believe,Blessid Union Of Souls
If You Go,Jon Secada
Don't Turn Around,Ace Of Base
You Mean The World To Me,Toni Braxton
Real Love,Mary J. Blige
Another One Bites The Dust,Queen
I Love The Nightlife (Disco 'round),Alicia Bridges
Hot Child In The City,Nick Gilder
I Just Want To Be Your Everything,Andy Gibb
Superstar,Murray Head
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Best Friend,Saweetie Featuring Doja Cat
"10,000 Hours",Dan + Shay & Justin Bieber
BOP,DaBaby
Good As Hell,Lizzo
Ric Flair Drip,Offset & Metro Boomin
iSpy,KYLE Featuring Lil Yachty
Starboy,The Weeknd Featuring Daft Punk
1999,Prince
Die A Happy Man,Thomas Rhett
White Iverson,Post Malone
Photograph,Ed Sheeran
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
Talking Body,Tove Lo
Elastic Heart,Sia
Black Widow,Iggy Azalea Featuring Rita Ora
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
"Gone, Gone, Gone",Phillip Phillips
Girl On Fire,Alicia Keys Featuring Nicki Minaj
Without You,David Guetta Featuring Usher
Tonight Tonight,Hot Chelle Rae
E.T.,Katy Perry Featuring Kanye West
F**kin' Perfect,P!nk
Raise Your Glass,P!nk
Airplanes,B.o.B Featuring Hayley Williams
OMG,Usher Featuring will.i.am
Whataya Want From Me,Adam Lambert
Empire State Of Mind,Jay-Z + Alicia Keys
Heartless,Kanye West
Fall For You,Secondhand Serenade
American Boy,Estelle Featuring Kanye West
Shake It,Metro Station
Don't Stop The Music,Rihanna
Cyclone,Baby Bash Featuring T-Pain
Misery Business,Paramore
Wait For You,Elliott Yamin
Say It Right,Nelly Furtado
Irreplaceable,Beyonce
Smack That,Akon Featuring Eminem
Suddenly I See,KT Tunstall
Far Away,Nickelback
Buttons,The Pussycat Dolls Featuring Snoop Dogg
Black Horse & The Cherry Tree,KT Tunstall
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
Heaven,Los Lonely Boys
Dip It Low,Christina Milian
Burn,Usher
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy
Tipsy,J-Kwon
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
In Da Club,50 Cent
Miss You,Aaliyah
Underneath It All,No Doubt Featuring Lady Saw
"Lights, Camera, Action!",Mr. Cheeks
Differences,Ginuwine
Case Of The Ex (Whatcha Gonna Do),Mya
Back That Azz Up,Juvenile
All Star,Smash Mouth
Angel Of Mine,Monica
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
Bitch,Meredith Brooks
Ooh Aah... Just A Little Bit,Gina G
Mouth,Merril Bainbridge
It's All Coming Back To Me Now,Celine Dion
You Oughta Know,Alanis Morissette
Who Will Save Your Soul,Jewel
Back For Good,Take That
Someone To Love,Jon B. Featuring Babyface
Freak Like Me,Adina Howard
Take A Bow,Madonna
"Here Comes the Hotstepper (Heartical Mix)",Ini Kamoze
Short Dick Man,20 Fingers Featuring Gillette
I'll Stand By You,Pretenders
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories
I Swear,All-4-One
Hero,Mariah Carey
Ditty,Paperboy
Do You Believe In Us,Jon Secada
Back To The Hotel,N2Deep
Jump Around,House Of Pain
My Lovin' (You're Never Gonna Get It),En Vogue
Heat Of The Moment,After 7
Close To You,Maxi Priest
Me So Horny,The 2 Live Crew
I'll Always Love You,Taylor Dayne
In My Dreams,REO Speedwagon
Borderline,Madonna
Our Lips Are Sealed,Go-Go's
Celebration,Kool & The Gang
Wipe Out,The Surfaris
Kiss Me More,Doja Cat Featuring SZA
Deja Vu,Olivia Rodrigo
Heartbreak Anniversary,Giveon
Glad You Exist,Dan + Shay
Positions,Ariana Grande
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
Laugh Now Cry Later,Drake Featuring Lil Durk
If The World Was Ending,JP Saxe Featuring Julia Michaels
Be Alright,Dean Lewis
Taste,Tyga Featuring Offset
Yes Indeed,Lil Baby & Drake
Friends,Marshmello & Anne-Marie
I Fall Apart,Post Malone
Mi Gente,J Balvin & Willy William Featuring Beyonce
It Ain't Me,Kygo x Selena Gomez
Issues,Julia Michaels
Starving,Hailee Steinfeld & Grey Featuring Zedd
Too Good,Drake Featuring Rihanna
Lips Are Movin,Meghan Trainor
I Don't Fuck With You,Big Sean
The Monster,Eminem Featuring Rihanna
HeadBand,B.o.B Featuring 2 Chainz
Get Lucky,Daft Punk Featuring Pharrell Williams
Power Trip,J. Cole Featuring Miguel
I Love It,Icona Pop Featuring Charli XCX
Madness,Muse
Swimming Pools (Drank),Kendrick Lamar
As Long As You Love Me,Justin Bieber Featuring Big Sean
Whistle,Flo Rida
Domino,Jessie J
It Will Rain,Bruno Mars
I Will Always Love You,Whitney Houston
You Make Me Feel...,Cobra Starship Featuring Sabi
